primary_role_id,role_ids,RBMIdLength,RBMId,Count of name
RO177,RO76,25,NHSNoReplyAshleighSW92065,1
RO177,RO76,25,NHSNoReplyAshleySgrH81071,1
RO177,RO76,25,NHSNoReplyAshleySgrM83017,1
RO177,RO76,25,NHSNoReplyAshmorePaM92022,1
RO177,RO76,25,NHSNoReplyAshoverMPC81611,1
RO177,RO76,25,NHSNoReplyAshtonGarF82686,1
RO177,RO76,25,NHSNoReplyAshtonGpSY02586,1
RO177,RO76,25,NHSNoReplyAshtonVieB86623,1
RO177,RO76,25,NHSNoReplyAshTreeHsP81129,1
RO177,RO76,25,NHSNoReplyAshTreesSP81029,1
RO177,RO76,25,NHSNoReplyAshurstPmP81201,1
RO177,RO76,25,NHSNoReplyAshvilleMC85003,1
RO177,RO76,25,NHSNoReplyAshvilleSE85719,1
RO177,RO76,25,NHSNoReplyAshvilleSP84038,1
RO177,RO76,25,NHSNoReplyAshwellMPB83641,1
RO177,RO76,25,NHSNoReplyAshwellSgD81047,1
RO177,RO76,25,NHSNoReplyAshworthSP86006,1
RO177,RO76,25,NHSNoReplyAspatriaMA82055,1
RO177,RO76,25,NHSNoReplyAspiroHthK83614,1
RO177,RO76,25,NHSNoReplyAspiroHthY06354,1
RO177,RO76,25,NHSNoReplyAspullSgrP92015,1
RO177,RO76,25,NHSNoReplyAstonHthCN83028,1
RO177,RO76,25,NHSNoReplyAtherstonM84019,1
RO177,RO76,25,NHSNoReplyAtkinsonHA82062,1
RO177,RO76,25,NHSNoReplyAtlanticML82038,1
RO177,RO76,25,NHSNoReplyAtMedicsLY02987,1
RO177,RO76,25,NHSNoReplyAtMedicsSY05162,1
RO177,RO76,25,NHSNoReplyatreRylSgD82050,1
RO177,RO76,25,NHSNoReplyAtriumHthJ81068,1
RO177,RO76,25,NHSNoReplyAttenboroE82124,1
RO177,RO76,25,NHSNoReplyAttleboroD82034,1
RO177,RO76,25,NHSNoReplyAubreyRdMM85749,1
RO177,RO76,25,NHSNoReplyAucklSgryH83037,1
RO177,RO76,25,NHSNoReplyAudleyHthM83054,1
RO177,RO76,25,NHSNoReplyAudleyMilF81123,1
RO177,RO76,25,NHSNoReplyAughtonSgP81695,1
RO177,RO76,25,NHSNoReplyAuroraMedF82042,1
RO177,RO76,25,NHSNoReplyAustenRdSH81006,1
RO177,RO76,25,NHSNoReplyAvenhamSgP81770,1
RO177,RO76,25,NHSNoReplyAvenueSgrE85099,1
RO177,RO76,25,NHSNoReplyAvenueSgrG81075,1
RO177,RO76,25,NHSNoReplyAvenueSgrJ83018,1
RO177,RO76,25,NHSNoReplyAvenueSgrP92615,1
RO177,RO76,25,NHSNoReplyAvenuesMPB81035,1
RO177,RO76,25,NHSNoReplyAvenueVilW92037,1
RO177,RO76,25,NHSNoReplyAvicennaMB83058,1
RO177,RO76,25,NHSNoReplyAvisfordMH82048,1
RO177,RO76,25,NHSNoReplyAvonsideHM84010,1
RO177,RO76,25,NHSNoReplyAvonValleJ83023,1
RO177,RO76,25,NHSNoReplyAwburnHsMP89004,1
RO177,RO76,25,NHSNoReplyAxbridgeSL85055,1
RO177,RO76,25,NHSNoReplyAxminsterL83020,1
RO177,RO76,25,NHSNoReplyAylesburyM85779,1
RO177,RO76,25,NHSNoReplyAylesfordG82058,1
RO177,RO76,25,NHSNoReplyAyleshamMG82211,1
RO177,RO76,25,NHSNoReplyAylestoneC82092,1
RO177,RO76,25,NHSNoReplyAylmerLodM81068,1
RO177,RO76,25,NHSNoReplyAytonSnaiB82063,1
RO177,RO76,25,NHSNoReplyBaastonMPL81027,1
RO177,RO76,25,NHSNoReplyBabylonGpY06487,1
RO177,RO76,25,NHSNoReplyBaconLnSgE84014,1
RO177,RO76,25,NHSNoReplyBaconRdMPD82060,1
RO177,RO76,25,NHSNoReplyBaddeleyGM83709,1
RO177,RO76,25,NHSNoReplyBaddowVilF81114,1
RO177,RO76,25,NHSNoReplyBadgerswoJ82042,1
RO177,RO76,25,NHSNoReplyBagarySMPM92654,1
RO177,RO76,25,NHSNoReplyBaildonMPB83022,1
RO177,RO76,25,NHSNoReplyBaileyPrcF86689,1
RO177,RO76,25,NHSNoReplyBakersfieC84693,1
RO177,RO76,25,NHSNoReplyBalaamStPF84681,1
RO177,RO76,25,NHSNoReplyBalajiSgrM85794,1
RO177,RO76,25,NHSNoReplyBalanceStM83074,1
RO177,RO76,25,NHSNoReplyBaldertonY05369,1
RO177,RO76,25,NHSNoReplyBaldockSgE82099,1
RO177,RO76,25,NHSNoReplyBaldwinsLE82049,1
RO177,RO76,25,NHSNoReplyBaldwinsLM85118,1
RO177,RO76,25,NHSNoReplyBalfourMPF81155,1
RO177,RO76,25,NHSNoReplyBalfourRdF86042,1
RO177,RO76,25,NHSNoReplyBalhamHthH85637,1
RO177,RO76,25,NHSNoReplyBalhamParH85066,1
RO177,RO76,25,NHSNoReplyBallardsWF81150,1
RO177,RO76,25,NHSNoReplyBallaterSG84040,1
RO177,RO76,25,NHSNoReplyBallTreeSH82065,1
RO177,RO76,25,NHSNoReplyBalmoralSG82036,1
RO177,RO76,25,NHSNoReplyBalmorePaK81014,1
RO177,RO76,25,NHSNoReplyBalsallCmM89016,1
RO177,RO76,25,NHSNoReplyBalsallHeM85766,1
RO177,RO76,25,NHSNoReplyBamptonSgK84010,1
RO177,RO76,25,NHSNoReplyBanburyCrK84028,1
RO177,RO76,25,NHSNoReplyBanburyRdK84021,1
RO177,RO76,25,NHSNoReplyBancroftME82053,1
RO177,RO76,25,NHSNoReplyBankfieldB84016,1
RO177,RO76,25,NHSNoReplyBankHsSgrA81007,1
RO177,RO76,25,NHSNoReplyBankHsSgrG84609,1
RO177,RO76,25,NHSNoReplyBanksBearJ81070,1
RO177,RO76,25,NHSNoReplyBanksSgryC82600,1
RO177,RO76,25,NHSNoReplyBannockbuG83654,1
RO177,RO76,25,NHSNoReplyBarbourneM81049,1
RO177,RO76,25,NHSNoReplyBarcellosJ81621,1
RO177,RO76,25,NHSNoReplyBarcroftMJ83005,1
RO177,RO76,25,NHSNoReplyBarkantinF84747,1
